annee,va_croissance
1966,6.38312749871947
1967,4.74984531015043
1968,7.39858589388555
1969,6.44453518845287
1970,-7.09816926482814
1971,-0.674134853701176
1972,5.65619856265067
1973,3.21188108932948
1974,1.45224044865337
1975,2.86313107392337
1976,-4.97027324727128
1977,-6.06696845420818
1978,17.3719423147404
1979,-4.93343522329833
1980,16.56676561641
1981,0.201206707976326
1982,-8.83535996302422
1983,0.881082257254945
1984,29.9126577453733
1985,7.49579714817213
1986,1.46967375553831
1987,0.198766444126889
1988,9.26048459637005
1989,5.50329761873201
1990,2.99176081263424
1991,-1.1387910101494
1992,1.2234450211285
1993,5.9943750959555
1994,-0.0626833332728864
1995,5.54488437971503
1996,16.3667159338019
1997,4.46317430847225
1998,-2.76104059328279
1999,5.48482078074422
2000,-4.73537901220334
2001,5.59065173706392
2002,0.318576667690749
2003,-1.63006923118787
2004,3.36749968927121
2005,10.047188173635
2006,-5.25443528382162
2007,2.11891475655131
2008,-3.85263437468039
2009,12.5557503609087
2010,4.88587073897158
2011,-0.596360680811799
2012,7.51391809298032
2013,-5.5511989768916
2014,15.4697205050049
2015,-0.656941641448356
2016,8.33583549581114
2017,6.80677814500912
2018,4.59151523352628
2019,5.55482695164373
2020,-0.907531928923589
2021,4.13458702209601
2022,5.33629065287991
2023,6.27143525357481
2024,5.85188699962804
2025,1.10132073043128
