annee,va_par_travailleur
1991,809.592841417323
1992,785.210989630406
1993,841.664999320645
1994,868.259090314727
1995,852.378400588413
1996,939.772257436374
1997,968.234663567585
1998,924.949493634179
1999,951.844228698593
2000,879.156022284211
2001,898.062076397692
2002,876.251821427387
2003,847.661741566521
2004,844.974072789645
2005,891.599719850871
2006,835.213225449628
2007,875.864757840851
2008,870.195751471416
2009,1052.07228772826
2010,1165.24797704929
2011,1210.68803545019
2012,1289.67291092132
2013,1209.94670994267
2014,1376.61192575736
2015,1351.31766041275
2016,1443.76084051632
2017,1528.90068739343
2018,1358.0348933227
2019,1259.52753877503
2020,1243.33261257229
2021,1307.50785164769
2022,1417.01945012125
2023,1505.94656246371
2024,1573.37615358962
2025,1576.58924586902
