annee,va_usd_2015
1965,225340339.76779
1966,239724100.961216
1967,251110624.928023
1968,269689260.201995
1969,287069479.475191
1970,266692801.914381
1971,264894932.784364
1972,279877916.165048
1973,288867262.027562
1974,293062309.249644
1975,301453067.291728
1976,286470026.135048
1977,269089980.018673
1978,315836136.122264
1979,300254564.934903
1980,349997034.96024
1981,350701252.472299
1982,319715534.421537
1983,322532491.269013
1984,419010531.499938
1985,450418710.970651
1986,457038396.555821
1987,457946835.52495
1988,500354931.688302
1989,527890952.729112
1990,543684187.386303
1991,537492760.736744
1992,544068689.156904
1993,576682207.164617
1994,576320723.534774
1995,608277041.311115
1996,707832016.75304
1997,739423793.471902
1998,719008002.377751
1999,758444302.70738
2000,722529090.377723
2001,762923175.519718
2002,765353670.749329
2003,752877876.052677
2004,778231036.189343
2005,856421372.820915
2006,811421266.029224
2007,828614590.972912
2008,796691100.407473
2009,896721646.122212
2010,940534306.640121
2011,934925329.845773
2012,1005174853.36091
2013,949375597.185169
2014,1096241348.61243
2015,1089039682.70262
2016,1179820239.13682
2017,1260127985.32478
2018,1317986953.73289
2019,1391198848.258
2020,1378573274.51524
2021,1435571586.21343
2022,1512177858.58394
2023,1607013113.90392
2024,1701053705.39878
2025,1719787762.49211
